tconst,convert_text,genres
tt9413906,narr suzan christian nun reminisc two death one fill heart light anoth darken soul forev,"Crime,Drama,Mystery"
tt9319530,follow young girl struggl get drug deal rangoon noir film mix romant comedi come countri bare unknown foreign screen myanmar,"Crime,Drama,Romance"
tt9304196,one crimin kidnap rich american ransom ca nt get wife respond messag help calm nerv start convers american without other know two soon begin bond,"Crime,Drama,Thriller"
tt9283478,somewher southern counti china summer begun alreadi greet seri indec assault victim ident girl onepiec dress process hunt crimin summer end autumn come lot seem happen yet feel peac anoth normal day noth occur,"Comedy,Crime,Mystery"
tt9233940,nine nine zaw htike psychopath disord get medic treatment ill psychiatr hospit khar ra aung myat shwe tha mee thariphi fall love one day come make donat hospit guy mental disord moment zaw htike see thriphi come hospit look like zaw htike wife kill think dead yet even kill consequ run away get girl hospit gon na happen next happen past time call poison man poison man horror action movi direct steel dway myitter,"Action,Crime,Drama"
tt9204566,murder claim thing nt seem,"Crime,Drama"
tt9183176,two friend italian mob accident doubl cross one anoth must protect live alli mad search traitor within rank,"Action,Comedy,Crime"
tt9146260,treacheri murder turn danni world upsid noth stop pursu reveng blend modern classic retel hamlet cast danish princ heir appar crime famili see world crumbl powerhungri uncl launch chain event bring whole world tumbl,"Action,Crime,Drama"
tt9144712,stori longtim friend hit point tire broke took measur hand know becom jackboiz go put situat real hard get,"Action,Crime,Drama"
tt9071394,film inspir bless misfortun tao te ching describ china today masquerad flashi perform hide anxieti greed hatr distort young song fei greed led reveng plan three men youth middleag elderli young girl entangl expos dark side human natur final three person push death absurd true human natur push contradict one one mad film whole gray express human natur restrain ration deal dark characterist greed selfish cruelti distort resent cold powerless realiti charact stori usual present anxiou chang abandon like weak struggl mud like cri without voic film expect audienc think awaken,"Comedy,Crime,Thriller"
tt9054078,teenag burnout young hustler cross path cours one night eventu find connect death,"Crime,Drama,Mystery"
tt9042348,miguel confess crime dead mother,"Crime,Drama"
tt9027454,charact although three main charact work class societi obtain differ characterist person build charact focu live environ languag behavior enrich person make stori realist keynot crime genr film storylin set upbeat pace abund intens suitabl multilin parallel omnisci perspect explor explain stori narrat motiv action charact discov purchas commit murder point view intertwin togeth creat accentu mood mysteri hand held camera techniqu sharp cut shot make stori succinct clear main theme use crime stori seri emot everi day ordinari peopl unfold work peopl struggl surviv among societi life interrupt goe turmoil emot valu becom last standard right wrong exist hold person miseri made last effort surviv,"Crime,Drama,Thriller"
tt9018580,follow tragedi young woman return home town embark danger affair whilst sink deeper alcohol drug addict,"Crime,Drama,Thriller"
tt9013006,obtain new job offer catherin final arriv new york end longdist relationship boyfriend ethan move luxuri apart midtown manhattan howev start feel strang presenc harass sexual second day arriv evil entiti lock apart complet isol surviv limit resourc lose freedom start realiz ignor ungrat life catherin leav apart aliv,"Crime,Drama,Horror"
